,name,gender,origin,meaning,url
0,Aaban,Male,Muslim,name of the angel,
1,Aabha,Male,Indian,Light,
2,Aadarshini,Female,Hindu,idealistic,
3,Aadi,Female,France,in the beginning,
4,Aadi,Male,Indian,"The first, important.",
5,Aaeesha,Female,Arabic,"Life, full of life.",
6,Aafke,Female,Netherlands,the good one,
7,Aage,Male,Norway,ancestors,
8,Aahan,Male,India,dawn,
9,Aahil,Male,Muslim,prince,
10,Aahna,Female,India,alive,
11,Aaida,Female,Africa,returness,
12,Aailyah,Female,Tanzania,of the highest,
13,Aakarshan,Male,India,attraction,
14,Aakav,Male,India,shape,
15,Aakesh,Male,India,lord of the sky,
16,Aakif,Male,Africa,given attached,
17,Aakil,Male,India,intelligent,
18,Aala,Female,America,she who hunts and heals,
19,Aalam,Male,Africa,world universe,
20,Aalam,Male,Indian,"One who has rule, king.",
21,Aaleahya,Female,India,sunshine,
22,Aaleyah,Female,Arabia,the greatest gift of god,
23,Aaliyah,Female,Israel,ascender,
24,Aalok,Male,India,light of god,
25,Aamin,Male,India,grace of god,
26,Aamina,Female,Ethiopia,safe,
27,Aanan,Male,India,face,
28,Aandaleeb,Male,India,bluebird,
29,Aanisah,Female,Arabic,Maiden.,
30,Aanjay,Female,India,unconquerable,
31,Aaralyn,Female,America,with song,
32,Aaren,Male,Scandinavia,lofty or inspired,
33,Aariz,Male,Muslim,respectable,
34,Aarman,Male,Indian,Desire.,
35,Aaron,Male,Hebrew,enlightened,
36,Aart,Male,England,like an eagle,
37,Aarthi,Female,India,way of offering prayer,
38,Aarush,Male,India,first ray of sun,
39,Aarushi,Female,India,first ray of the sun,
40,Aaryan,Male,Muslim,of outmost strength,
41,Aasaf,Male,Africa,clear lined up,
42,Aase,Female,Denmark,tree-covered mountain,
43,Aashiq,Male,Africa,lover fancier,
44,Aashish,Male,India,blessing,
45,Aashka,Female,India,blessing,
46,Aasim,Male,Africa,protector guardian,
47,Aasimah,Female,Arabic,One who protects.,
48,Aasir,Male,Kenya,captivating fascinating,
49,Aatmadeva,Male,India,god of the soul,
50,Aatmik,Male,India,soul,
51,Aayan,Male,Muslim,gods gift,
52,Aazeen,Female,Arabic,Beauty.,
53,Ab-Owen,Male,England,son of owen,
54,Aba,Female,Africa,born on thursday,
55,Abaan,Male,Africa,old arabic name,
56,Abaddon,Male,Israel,the destroyer,
57,Abagail,Female,Israel,gives joy,
58,Abagtha,Male,Israel,father of the wine-press,
59,Abaigael,Female,Israel,gives joy,
60,Abaigeal,Female,Hebrew,Gives joy.,
61,Abaigeal,Female,Israel,gives joy,
62,Aballach,Male,Scotland,father of modron,
63,Aban,Male,Kenya,clear distant,
64,Abana,Female,Israel,made of stone a building,
65,Abantiades,Male,Latin-America,descendant of abas,
66,Abarim,Female,Israel,passages passengers,
67,Abarran,Male,Spain,father of a multitude,
68,Abarrane,Female,Israel,gives joy,
69,Abarron,Male,Hebrew,Father of a multitude.,
70,Abarron,Male,Israel,father of a multitude,
71,Abasi,Male,Tanzania,stern,
72,Abayomi,M or F,Nigeria,pleasent meeting,
73,Abba,Female,Africa,born on thursday,
74,Abba,Male,Hebrew,Father.,
75,Abban,Male,Ireland,abbot,
76,Abbas,Male,Arabia,lion,
77,Abbey,Female,Jewish,my father rejoices,
78,Abbeygail,Female,England,fathers joy,
79,Abboid,Male,Gaelic,Abbey father.,
80,Abboid,Male,Scotland,abbey father,
81,Abbot,Male,English,Abbey father.,
82,Abbot,Male,Hebrew,Father.,
83,Abbot,Male,Israel,father,
84,Abbotson,Male,Hebrew,Son of Abbot.,
85,Abbotson,Male,Israel,son of abbot,
86,Abbott,Male,English,Abbey father.,
87,Abbott,Male,Hebrew,Father.,
88,Abbott,Male,Israel,father,
89,Abby,M or F,Israel,joy of the father,
90,Abd-al-Bari,Male,Arabia,servant of allah,
91,Abd-al-Hakim,Male,Arabia,servant of the wise,
92,Abd-al-Jabbar,Male,Arabia,servant of the mighty,
93,Abd-al-Matin,Male,Arabia,servant of the strong,
94,Abd-al-Qadir,Male,Arabia,servant of the capable,
95,Abd-al-Rashid,Male,Arabia,servant of the guided,
96,Abda,Male,Israel,a servant servitude,
97,Abdal-Ati,Male,Arabia,servant of allah,
98,Abdal-Aziz,Male,Arabia,servant of the mighty one,
99,Abdal-Hadi,Male,Arabia,servant of the leader,
100,Abdal-Hakim,Male,North-Africa,servant of the wise one,
101,Abdal-Jabir,Male,Arabia,servant of the comforter,
102,Abdal-Jawwad,Male,Arabia,servant of the noble one,
103,Abdal-Lafif,Male,Arabia,servant of the kind one,
104,Abdal-Malik,Male,North-Africa,servant of the king,
105,Abdal-Mufi,Male,Arabia,servant of the donor,
106,Abdal-Qadir,Male,Arabia,servant of the capable,
107,Abdal-Rahman,Male,Arabia,servant of the merciful,
108,Abdal-Raziq,Male,Arabia,servant of the provider,
109,Abdal-Salam,Male,Arabia,servant of peace,
110,Abdal-Wahab,Male,Arabia,servant of the giving,
111,Abdallah,Male,Arabia,slave of god,
112,Abdeel,Male,Israel,a vapor a cloud of god,
113,Abdel,Male,Arabia,servent,
114,Abdel-Ati,Male,Arabia,servant of allah,
115,Abdel-Salam,Male,Arabia,servant of peace,
116,Abdera,Female,Greece,from abdera,
117,Abderus,Male,Greece,a friend of hercules,
118,Abdi,Male,Israel,my servant,
119,Abdiel,Male,Jewish,servent of god,
120,Abduh,Male,Africa,an epithet of muhammad,
121,Abdukrahman,Male,Arabia,slave of the merciful god,
122,Abdul,Male,Arabia,servant of,
123,Abdul-Aalee,Male,Africa,servant of the most high,
124,Abdul-Aleem,Male,Africa,servant of the omniscient,
125,Abdul-Azeem,Male,Africa,servant of the mighty,
126,Abdul-Baari,Male,Africa,servant of the creator,
127,Abdul-Ghafoor,Male,Africa,servant of the forgiver,
128,Abdul-Haady,Male,Africa,servant of the guide,
129,Abdul-Haafiz,Male,Africa,servant of the protector,
130,Abdul-Hafeez,Male,Arabia,one who serves the master,
131,Abdul-Hakam,Male,Africa,servant of the arbitrator,
132,Abdul-Hakim,Male,Africa,servant of the wise,
133,Abdul-Haq,Male,Africa,servant of the truth,
134,Abdul-Jabaar,Male,Africa,servant of the mighty,
135,Abdul-Khaaliq,Male,Africa,servant of the creator,
136,Abdul-Lateef,Male,Africa,servant of the kind,
137,Abdul-Latif,Male,Arabia,one who serves a kind man,
138,Abdul-Majeed,Male,Africa,servant of the glorious,
139,Abdul-Mujeeb,Male,Africa,servant of the responder,
140,Abdul-Mutaal,Male,Africa,servant of the most high,
141,Abdul-Qaadir,Male,Africa,servant of the capable,
142,Abdul-Qudoos,Male,Africa,servant of the most holy,
143,Abdul-Saboor,Male,Africa,servant of the patient,
144,Abdul-Salaam,Male,Africa,servant of the peace,
145,Abdul-Samad,Male,Africa,servant of the eternal,
146,Abdul-Tawaab,Male,Africa,servant of the forgiver,
147,Abdul-Waahid,Male,Africa,servant of the one,
148,Abdul-Wadood,Male,Africa,servant of the loving,
149,Abdul-Wahaab,Male,Africa,servant of the giver,
150,Abdulkareem,Male,Arabia,slave of the generous god,
151,Abdulla,Male,Arabia,servant of god,
152,Abdulrahman,Male,Arabia,slave of the merciful god,
153,Abe,Male,Jewish,father of nations,
154,Abebe,Female,African,Asked for (Nigerian).,
155,Abebe,Female,Ethiopia,grown,
156,Abebi,Female,African,Asked for (Nigerian).,
157,Abed,Male,Africa,worshipper adorer,
158,Abedabun,Female,America,sight of day,
159,Abedabun,Female,Native American,Sight of day (Chippewa).,
160,Abedin,Male,Africa,worshippers,
161,Abednego,Male,Israel,"servant of light, shining",
162,Abeer,Female,Arabia,fragrance,
163,Abegaila,Female,Hawaii,my father is joy,
164,Abegayle,Female,Hebrew,Gives joy.,
165,Abegayle,Female,Israel,gives joy,
166,Abejundio,Male,Spain,bee,
167,Abeke,Female,Nigeria,we begged for her,
168,Abel,Male,Biblical,breath,
169,Abelard,Male,Germany,resolute,
170,Abell,Male,Israel,exhalation of breath,
171,Abella,Female,France,breath,
172,Abellona,Female,Denmark,manly,
173,Abellone,Female,Greece,masculine,
174,Abeltje,Female,Netherlands,breath,
175,Abeni,Female,Africa,girl prayed for,
176,Abeo,Female,Africa,happy she was born,
177,Abeodan,Male,England,announce,
178,Abequa,Female,America,stays at home,
179,Abequa,Female,Native American,Stays at home (Chippewa).,
180,Abeque,Female,America,stays at home,
181,Abeque,Female,Native American,Stays at home (Chippewa).,
182,Abertha,Female,England,sacrifice,
183,Abertha,Female,Welsh,Sacrifice.,
184,Aberthol,Male,England,sacrifice,
185,Aberthol,Male,Welsh,Sacrifice.,
186,Abetzi,Female,America,yellow leaf,
187,Abey,Female,America,leaf,
188,Abeytu,Female,America,green leaf,
189,Abhainn,Male,Scotland,river,
190,Abharan,Male,India,jewel,
191,Abhay,Male,India,a son of dharma,
192,Abhaya,Female,India,"fearless origin, sanskrit",
193,Abhayankari,Female,India,the one who dispels fear,
194,Abheek,Male,India,fearless,
195,Abhibhava,Male,Indian,One who has power.,
196,Abhichandra,Male,India,beautiful moon,
197,Abhidhar,Male,India,who wears serpents,
198,Abhigeetha,Female,India,praised,
199,Abhigya,Female,India,expert,
200,Abhigyan,Male,Russia,token,
201,Abhijat,Male,India,a person of noble birth,
202,Abhijay,Male,India,victorious,
203,Abhijaya,Female,India,victorious,
204,Abhijitha,Female,India,lakshmi,
205,Abhikhya,Female,India,beauty fame,
206,Abhilash,Male,India,wish desire,
207,Abhilasha,Female,India,desire,
208,Abhimakar,Male,India,one who has/gives warmth,
209,Abhiman,Male,India,self respect,
210,Abhimanini,Female,India,a girl with self respect,
211,Abhimanya,Male,India,short tempered,
212,Abhinandana,Female,India,happiness good wishes,
213,Abhinav,Male,India,modern new novel,
214,Abhineet,Male,India,actor,
215,Abhinetri,Female,India,actress dancer,
216,Abhinivesh,Male,India,long cherished desire,
217,Abhinivesha,Female,India,long cherished desire,
218,Abhiraj,Male,India,handsome,
219,Abhiraja,Male,India,great king,
220,Abhiram,Male,India,lovely pleasing,
221,Abhirath,Male,India,handsome,
222,Abhiroopa,Female,India,attractive,
223,Abhivachan,Male,India,good word,
224,Abhivandan,Male,India,salutation with respect,
225,Abhramani,Female,India,sun or moon,
226,Abhy,Female,Hebrew,Gives joy.,
227,Abhy,Female,Israel,gives joy,
228,Abi,Male,Israel,my father,
229,Abi-Albon,Male,Israel,most intelligent father,
230,Abia,Female,Arabia,great,
231,Abichail,Female,Hebrew,Gives joy.,
232,Abichail,Female,Israel,gives joy,
