,name,gender,meanings
0,50,b,
1,A'dil,b,having the highest caliber of justice.
2,A'idah,g,"guest, the one who's returning."
3,A'ishah,g,wife of the prophet (saw).
4,A'shadieeyah,g,"princess, cute, perfect."
5,A.,b,
6,A.J.,b,
7,AIlison,g,honest
8,ATB,b,
9,Aa'idah,g,name of a narrator of hadith.
10,Aa'ishah,g,"a prosperous, happy and fortunate lady"
11,Aaaqil,b,wise; intelligent; sensible.
12,Aaban,b,"name of the angel,name of the angel."
13,Aabha,u,"light,glow"
14,Aabharana,g,jewel
15,Aabheer,b,a cow herd
16,Aabid,b,"worshiper; devotee; devout.,worshiper."
17,Aabidah,g,"worshipper.,worshipper; devotee; devout."
18,Aabirah,g,"fleeting, transitory, ephemeral."
19,Aabish,g,daughter of sa'd who was a queen of iran (an).
20,Aadab,g,"hope, need.,hope and need"
21,AadalAlagi,g,artistic and beautiful
22,AadalArasi,g,artistic
23,AadalChelvi,g,artistic
24,AadalNangai,g,artistic
25,Aadalarasu,b,king of dance
26,Aadam,b,name of the first man and prophet of allah; father of mankind.
27,Aadarsh,b,ideal
28,Aadarshini,g,idealistic
29,Aaden,b,
30,Aadesh,b,command
31,Aadhavan,b,sun
32,Aadhira,b,moon
33,Aadhya,g,first power
34,Aadi,u,"in the beginning,the first, important.,first; most important"
35,Aadidev,b,the first god
36,Aadil,b,"just,just; upright; sincere,just, upright."
37,Aadila,g,"just, honest, equal, upright."
38,Aadilah,g,just; upright; sincere; righteous.
39,Aadinath,b,the first god
40,Aadit,b,peak
41,Aadita,g,from the beginning
42,Aaditeya,b,son of aditi
43,Aaditya,b,the sun
44,Aadrika,g,mountain
45,AaduMayil,g,dancing peacock
46,Aadya,b,"the earliest, lord shiva"
47,Aaeedah,g,"visiting, returning, reward."
48,Aaeesha,g,"life, full of life.,life, vivaciousness, living prosperous"
49,Aafia,g,good health.
50,Aafiya,b,good health.
51,Aafke,g,the good one
52,Aafreeda,g,"created, produced."
53,Aafreen,g,"brave, acclaim."
54,Aagam,b,"coming, arrival"
55,Aage,b,ancestors
56,Aaghaa,b,"derived from agha, master owner."
57,Aagney,b,"born from fire,son of fire"
58,Aagneya,b,son of the fire
59,Aahan,b,dawn
60,Aahil,b,"prince,prince."
61,Aahlaad,b,delight
62,Aahlaadita,g,bubbling with delight
63,Aahna,g,"alive,exist"
64,Aahva,b,beloved
65,Aaida,g,returness
66,Aailyah,g,of the highest
67,Aairah,g,"noble, respectful."
68,Aakaash,b,sky
69,Aakanksha,g,desire
70,Aakar,b,shape
71,Aakarshan,b,attraction
72,Aakash,b,the sky; vast like the sky
73,Aakav,b,shape
74,Aakesh,b,lord of the sky
75,Aakif,b,given attached
76,Aakifah,g,"devoted, dedicated.,a lady who worships allah in solitude."
77,Aakil,b,intelligent
78,Aakriti,g,shape
79,Aala,g,"she who hunts and heals,bounties."
80,Aalam,b,"world universe,one who has rule, king.,the world; the universe,world."
81,Aalap,b,prelude to a raga
82,Aalavandan,b,majestic
83,Aaleahya,g,sunshine
84,Aalee,b,"sublime, high."
85,Aaleyah,g,"the greatest gift of god,exalted, highest social standing."
86,Aalia,g,"exhalted, noble.,exalted; highest social standing"
87,Aalif,b,compassionate affectionate.
88,Aalim,b,"derived from alim, man of learning wise.,religious scholar."
89,Aalimah,g,"scholar, authority."
90,Aaliyah,g,"ascender,going up, ascending. an alternative spelling variation is aliyah..,tall, towering."
91,Aalok,b,"light of god,a ray of light,light,brightness; light; cry of victory; a man with lovely hair"
92,Aaloka,g,lustrous
93,Aamaal,g,"hopes; aspirations,hopes, aspirations, wishes."
94,Aamanee,g,good wish.
95,Aamani,g,spring season (vasanth ritu)
96,Aamil,b,"derived from amil, worker effective.,doer, work man."
97,Aamilah,g,"doer of (good) deeds, righteous."
98,Aamin,b,grace of god
99,Aamina,g,safe
100,Aaminah,g,"secured, safe.,a lady of peace and harmony"
101,Aamir,b,"one who inhabits; one who performs umrah; of a sahaabi.,populous, full, prosperous,civilised."
102,Aamira,g,"derived from amira, well populated.,imperial, abundant, inhabited."
103,Aamirah,u,"inhabitant,an occupant of an abode one who makes umrah or ziyaarah; abundant treasurer"
104,Aamod,b,pleasure
105,Aamrapali,g,leaf of mango tree
106,Aanan,b,face
107,Aanand,b,joy
108,Aanandamayee,g,joy permeated
109,Aanandi,g,always happy (woman)
110,Aanandita,g,the happy one
111,Aanandswarup,b,full of joy
112,Aanchal,g,protective shelter
113,Aandaleeb,b,"bluebird,the bulbul bird"
114,Aani Fatimah Khatoon,g,"name of a literary woman,she was a literary woman and a poetess in qastaniniyah."
115,Aanisah,g,"maiden.,young lady, maiden.,a pious-hearted lady; good-natured; compatible."
116,Aaniya,g,
117,Aanjaneya,b,son of anjani (hanuman)
118,Aanjay,g,unconquerable
119,Aapt,b,trustworthy
120,Aapti,g,fulfilment
121,Aaqaa,b,"derived from agha, master owner."
122,Aaqib,b,follower.
123,Aaqil,b,"wise judicious intelligent prudent.,intelligent."
124,Aaqilah,g,"intelligent.,wise; sensible; intelligent."
125,Aara,g,adoring
126,Aaraa,g,"derived from ara, embellishing adorning."
127,Aaraadhak,b,worshipper
128,Aaralyn,g,with song
129,Aaranam,g,name of an ornament
130,Aarao,b,"variant of aaron: lofty; exalted; high mountain. biblically, aaron was moses older brother (and keeper by gods command). he was first high priest of the israelites, remembered for the miraculous blossoming of his staff or rod.."
131,Aaratrika,g,dusk lamp beneath 'tulsi' plant
132,Aarav,b,
133,Aaren,b,lofty or inspired
134,Aaric,b,derived from aric meaning rule with mercy.
135,Aarif,b,"learned expert authority saint.,acquainted, knowledgable,one who possesses knowledge of allah and his kingdom; a devotee.,knowing, aware."
136,Aarifah,g,"knowing, women who recognises islam.,a lady possessing knowledge of allah and his kingdom; a devotee."
137,Aarika,g,admired for looks
138,Aarini,g,adventerous
139,Aariz,b,"respectable,respectable man."
140,Aarman,b,desire.
141,Aarna,g,goddess lakshmi
142,Aarohi,g,a music tune
143,Aaron,u,enlightened
144,Aart,b,like an eagle
145,Aarth,b,meaning
146,Aarthi,g,way of offering prayer
147,Aarti,g,"form of worship,towards the highest love for god; form of worship; divine fire in ritual"
148,Aarush,b,first ray of sun
149,Aarushi,g,"first ray of the sun,first rays of the sun"
150,Aaryan,b,"of outmost strength,of utmost strength."
151,Aasaf,b,clear lined up
152,Aase,g,tree-covered mountain
153,Aasha,g,hope
154,Aashalata,g,creeper of hope
155,Aashi,g,smile
156,Aashif,b,"bold, courageous."
157,Aashiq,b,lover fancier
158,Aashir,b,living.
159,Aashish,b,blessing
160,Aashiyana,g,beautiful home
161,Aashka,g,blessing
162,Aashman,b,son of the sun
163,Aashna,g,beloved; devoted to love
164,Aashni,g,lightning
165,Aashritha,g,somebody who gives shelter
166,Aashutosh,b,"who is easily pleased,one who fulfills wishes instantly"
167,Aasia,g,",hope."
168,Aasif,b,"name of a courtier,an able minister."
169,Aasim,b,"protector guardian,chaste; protected; safe; name of a great imaam of tajweed.,protector,person who keeps away from sins."
170,Aasimah,g,"one who protects.,protector, defendant, central.,safe; chaste; virtuous; a title for the holy city of madinah."
171,Aasir,b,captivating fascinating
172,Aasiyah,g,a mansion with solid foundation or pillars; a queen with a powerful dynasty
173,Aasmaa,g,excellent; precious
174,Aastha,g,faith
175,Aastik,b,who has faith in god
176,Aathmika,g,related to aathma or soul
177,Aatif,b,kind affectionate.
178,Aatifa,g,"derived from atifa, affection sympathy.,affection, sympathy."
179,Aatikah,g,"generous.,a lady who is richly perfumed."
180,Aatiq,b,free; liberated; independent.
181,Aatiqah,g,"shoulder (support) old.,emancipated; a beautiful lady; of honourable family back-ground."
182,Aatirah,g,"fragrant.,of good fragrance; a connoisseur of fragrance."
183,Aatish,b,"explosive,a dynamic person"
184,Aatma,b,soul; light of the lord
185,Aatmadeva,b,god of the soul
186,Aatmaj,b,son
187,Aatmaja,g,daughter
188,Aatmik,b,soul
189,Aatoon,g,"derived from atun, educator teacheress."
190,AatralArasi,g,achiever
191,Aatreya,b,name of a sage
192,Aatun,g,"derived from atun, educator teacheress."
193,Aaus,b,name of a tree.
194,Aavani,g,
195,Aavirai,g,
196,Aayan,b,"gods gift,god's gift."
197,Aayu,b,lifespan
198,Aayushi,g,one with long life
199,Aayushmaan,b,with long life
200,Aazaad,b,"derived from azad, independent free."
201,Aazeen,g,beauty.
202,Aazim,b,determined.
203,Ab,b,
204,Ab-Owen,b,son of owen
205,Aba,g,born on thursday
206,Abaan,b,old arabic name
207,Abaddon,b,the destroyer
208,Abagail,g,gives joy
209,Abagtha,b,father of the wine-press
210,Abai,b,
211,Abaigael,g,gives joy
212,Abaigeal,g,"gives joy.,gives joy"
213,Aballach,b,father of modron
214,Aban,b,clear distant
215,Abana,g,made of stone a building
216,Abanindra,b,
217,Abanindranath,b,
218,Abantiades,b,descendant of abas
219,Abarim,g,passages passengers
220,Abarran,b,father of a multitude
221,Abarrane,g,"gives joy,feminine form of abraham. father of many.."
222,Abarron,b,"father of a multitude.,father of a multitude"
223,Abasah,g,daughter of al-mahdi.
224,Abasi,b,stern
225,Abayomi,u,"pleasent meeting,nigerian name meaning bringer of happiness.."
226,Abb,b,
227,Abba,u,"born on thursday,father."
228,Abbaas,b,a furious lion that mauls its prey to pieces; pomp;
229,Abban,b,abbot
230,Abbas,b,"lion,description of a lion,gloomy look."
231,Abbey,g,"my father rejoices,diminutive of abigail: father rejoiced, or fathers joy. gives joy. the intelligent, beautiful abigail was old testament king davids third wife, described as good in discretion and beautiful in form.."
232,Abbeygail,g,fathers joy
233,Abbie,u,"diminutive of abigail: father rejoiced, or fathers joy. gives joy. the intelligent, beautiful abigail was old testament king davids third wife, described as good in discretion and beautiful in form..,form of abigail - my fathers joy."
234,Abbigail,g,
235,Abboid,b,"abbey father.,abbey father"
236,Abbot,b,"abbey father.,father.,father"
237,Abbotson,b,"son of abbot.,son of abbot"
238,Abbott,b,"abbey father.,father.,father"
239,Abbud,b,"derived from abid, worshiper of allah."
240,Abby,u,"joy of the father,diminutive of abigail: father rejoiced, or fathers joy. gives joy. the intelligent, beautiful abigail was old testament king davids third wife, described as good in discretion and beautiful in form.."
241,Abbé,b,
242,Abd,b,"derived from abd, slave servant.,a servant; a devotee; a slave."
243,Abd Al-Ala,b,slave of the high.
244,Abd-al-Alim,b,servant of the all knowing.
245,Abd-al-Bari,b,servant of allah
246,Abd-al-Hakim,b,servant of the wise
247,Abd-al-Jabbar,b,servant of the mighty
248,Abd-al-Matin,b,servant of the strong
249,Abd-al-Qadir,b,servant of the capable
250,Abd-al-Rashid,b,servant of the guided
251,Abd-al-Sami,b,servant of the all hearing.
252,Abd-ar-Rahman,b,
253,Abd-er-Rahman,b,servant of the merciful one.
254,Abda,u,"a servant servitude,worshipper."
255,Abdal-Ati,b,servant of allah
256,Abdal-Aziz,b,servant of the mighty one
257,Abdal-Fattah,b,servant of the one who gives nourishment.
258,Abdal-Hadi,b,servant of the leader
259,Abdal-Hakim,b,servant of the wise one
260,Abdal-Halim,b,servant of the patient one.
261,Abdal-Hamid,b,servant of the praiseworthy one.
262,Abdal-Jabir,b,servant of the comforter
263,Abdal-Jawwad,b,servant of the noble one
264,Abdal-Karim,b,servant of the generous one.
265,Abdal-Lafif,b,servant of the kind one
266,Abdal-Majid,b,servant of the glorious one.
267,Abdal-Malik,b,servant of the king
268,Abdal-Mufi,b,servant of the donor
269,Abdal-Muhsin,b,servant of the charitable one.
270,Abdal-Qadir,b,servant of the capable
271,Abdal-Rahim,b,servant of the compassionate.
272,Abdal-Rahman,b,servant of the merciful
273,Abdal-Rauf,b,servant of the compassionate.
274,Abdal-Raziq,b,servant of the provider
275,Abdal-Salam,b,servant of peace
276,Abdal-Wahab,b,servant of the giving
