id,Name,Gender,Language,Meaning,,,,
0,Aabheer,Boy,Tamil,a cow herd,,,,
1,Aadalarasu,Boy,Tamil,King of Dance,,,,
2,Aadarsh,Boy,Tamil,ideal,,,,
3,Aadesh,Boy,Tamil,command,,,,
4,Aadhavan,Boy,Tamil,Sun,,,,
5,Aadhira,Boy,Tamil,Moon,,,,
6,Aadi,Boy,Tamil,first; most important,,,,
7,Aadidev,Boy,Tamil,the first god,,,,
8,Aadinath,Boy,Tamil,the first god,,,,
9,Aadit,Boy,Tamil,Peak,,,,
10,Aaditeya,Boy,Tamil,son of Aditi,,,,
11,Aaditya,Boy,Tamil,The sun,,,,
12,Aadya,Boy,Tamil,"The earliest, Lord Shiva",,,,
13,Aagam,Boy,Tamil,"coming, arrival",,,,
14,Aagney,Boy,Tamil,born from fire,,,,
15,Aagney,Boy,Tamil,Son of Fire,,,,
16,Aagneya,Boy,Tamil,son of the fire,,,,
17,Aahlaad,Boy,Tamil,delight,,,,
18,Aahva,Boy,Tamil,Beloved,,,,
19,Aakaash,Boy,Tamil,sky,,,,
20,Aakar,Boy,Tamil,shape,,,,
21,Aakarshan,Boy,Tamil,attraction,,,,
22,Aalap,Boy,Tamil,prelude to a raga,,,,
23,Aalavandan,Boy,Tamil,Majestic,,,,
24,Aalok,Boy,Tamil,a ray of light,,,,
25,Aalok,Boy,Tamil,light,,,,
26,Aamod,Boy,Tamil,pleasure,,,,
27,Aanand,Boy,Tamil,joy,,,,
28,Aanandswarup,Boy,Tamil,full of joy,,,,
29,Aandaleeb,Boy,Tamil,the bulbul bird,,,,
30,Aanjaneya,Boy,Tamil,Son of Anjani (Hanuman),,,,
31,Aapt,Boy,Tamil,trustworthy,,,,
32,Aaraadhak,Boy,Tamil,worshipper,,,,
33,Aarth,Boy,Tamil,Meaning,,,,
34,Aashish,Boy,Tamil,blessing,,,,
35,Aashman,Boy,Tamil,Son of the sun,,,,
36,Aashutosh,Boy,Tamil,who is easily pleased,,,,
37,Aastik,Boy,Tamil,who has faith in god,,,,
38,Aatish,Boy,Tamil,"explosive,a dynamic person",,,,
39,Aatmaj,Boy,Tamil,son,,,,
40,Aatreya,Boy,Tamil,name of a sage,,,,
41,Aayu,Boy,Tamil,lifespan,,,,
42,Aayushmaan,Boy,Tamil,with long life,,,,
43,Abeer,Boy,Tamil,fragrance,,,,
44,Abhay,Boy,Tamil,fearless,,,,
45,Abhay,Boy,Tamil,"fearless, a son of Dharma",,,,
46,Abheek,Boy,Tamil,fearless,,,,
47,Abhi,Boy,Tamil,Fearless,,,,
48,Abhijaat,Boy,Tamil,well born,,,,
49,Abhijat,Boy,Tamil,"noble, wise",,,,
50,Abhijay,Boy,Tamil,total victory,,,,
51,Abhijay,Boy,Tamil,victorious,,,,
52,Abhijit,Boy,Tamil,victorious,,,,
53,Abhijit /Abhijeet,Boy,Tamil,"one who is victorious, a star",,,,
54,Abhik,Boy,Tamil,Beloved,,,,
55,Abhilash,Boy,Tamil,desire,,,,
56,Abhilash,Boy,Tamil,wish / desire,,,,
57,Abhimanyu,Boy,Tamil,son of Arjuna,,,,
58,Abhinandan,Boy,Tamil,congratulation,,,,
59,Abhinav,Boy,Tamil,brand new,,,,
60,Abhinav,Boy,Tamil,quite new,,,,
61,Abhinivesh,Boy,Tamil,Desire,,,,
62,Abhiraam,Boy,Tamil,pleasing,,,,
63,Abhiraj,Boy,Tamil,Fearless King,,,,
64,Abhirath,Boy,Tamil,great charioteer,,,,
65,Abhirup,Boy,Tamil,handsome,,,,
66,Abhisar,Boy,Tamil,companion,,,,
67,Abhishek,Boy,Tamil,an auspicious bath for a deity,,,,
68,Abhishek,Boy,Tamil,shower of milk / water over an idol,,,,
69,Abhivaadan,Boy,Tamil,greeting,,,,
70,Abhivanth / Abivanth,Boy,Tamil,Royal Salute,,,,
71,Abhra,Boy,Tamil,cloud,,,,
72,Abhyudaya,Boy,Tamil,Luck,,,,
73,Achal,Boy,Tamil,"constant, unshaked",,,,
74,Achal,Boy,Tamil,stable/ soul,,,,
75,Achalendra,Boy,Tamil,the Himalayas,,,,
76,Achalraj,Boy,Tamil,Himalayan mountain,,,,
77,Acharya,Boy,Tamil,teacher,,,,
78,Achintya,Boy,Tamil,beyond comprehension,,,,
79,Achintya,Boy,Tamil,inconceivable,,,,
80,Achyut,Boy,Tamil,imperishable; a name of Vishnu,,,,
81,Achyuta,Boy,Tamil,"indestructible, one who is firm",,,,
82,Achyuthan,Boy,Tamil,Indestructible,,,,
83,Adaleru,Boy,Tamil,Brave,,,,
84,Adarsh,Boy,Tamil,ideal,,,,
86,Adeela,Boy,Tamil,equal,,,,
87,Adeep,Boy,Tamil,The light Of Vishnu,,,,
88,Adheer,Boy,Tamil,restless,,,,
89,Adheesh,Boy,Tamil,king,,,,
90,Adhik,Boy,Tamil,"more, lots",,,,
91,Adhip,Boy,Tamil,king,,,,
92,Adhiraj,Boy,Tamil,King,,,,
93,Adhiyamaan,Boy,Tamil,Name of a King,,,,
94,Adiban,Boy,Tamil,Leader,,,,
95,Adil,Boy,Tamil,sincere; just,,,,
96,Adimoolan,Boy,Tamil,God,,,,
97,Adinath,Boy,Tamil,Lord Vishnu,,,,
98,Adipurush,Boy,Tamil,Primordial Being.,,,,
99,Adit,Boy,Tamil,from the beginning,,,,
100,Adithan,Boy,Tamil,Leader,,,,
101,Aditya,Boy,Tamil,sun,,,,
102,Aditya,Boy,Tamil,The sun,,,,
103,Advait,Boy,Tamil,Unique,,,,
104,Advay,Boy,Tamil,Unique,,,,
105,Advaya,Boy,Tamil,one; united,,,,
106,Advik,Boy,Tamil,Unique,,,,
107,Agamadhi,Boy,Tamil,Intelligent,,,,
108,Agamani,Boy,Tamil,Gem,,,,
109,Aganveer,Boy,Tamil,"God of law, sikh origin",,,,
110,Agastya,Boy,Tamil,a saint in Hindu mythology,,,,
111,Agastya,Boy,Tamil,name of a sage,,,,
