,name,gender,meanings
0,Aabha,u,"light,glow"
1,Aabharana,g,jewel
2,Aadarshini,g,idealistic
3,Aafke,g,the good one
4,Aahna,g,"alive,exist"
5,Aakanksha,g,desire
6,Aakriti,g,shape
7,Aaleahya,g,sunshine
8,Aaloka,g,lustrous
9,Aamrapali,g,leaf of mango tree
10,Aanandi,g,always happy (woman)
11,Aanchal,g,protective shelter
12,Aaniya,g,
13,Aanjay,g,unconquerable
14,Aapti,g,fulfilment
15,Aaralyn,g,with song
16,Aaranam,g,name of an ornament
17,Aarohi,g,a music tune
18,Aarthi,g,way of offering prayer
19,Aarushi,g,"first ray of the sun,first rays of the sun"
20,Aase,g,tree-covered mountain
21,Aashalata,g,creeper of hope
22,Aashiyana,g,beautiful home
23,Aashka,g,blessing
24,Aashna,g,beloved; devoted to love
25,Aashni,g,lightning
26,Aashritha,g,somebody who gives shelter
27,Aastha,g,faith
28,Aatmaja,g,daughter
29,Aavani,g,
30,Abayomi,u,"pleasent meeting,nigerian name meaning bringer of happiness.."
31,Abbeygail,g,fathers joy
32,Abdera,g,from abdera
33,Abebe,u,"asked for (nigerian).,grown"
34,Abebi,g,asked for (nigerian).
35,Abedabun,g,"sight of day,sight of day (chippewa)."
36,Abegaila,g,my father is joy
37,Abeke,g,we begged for her
38,Abella,g,breath
39,Abellona,g,manly
40,Abellone,g,masculine
41,Abelone,g,feminine version of the greek given name apollonios..
42,Abeltje,g,breath
43,Abequa,g,"stays at home,stays at home (chippewa)."
44,Abeque,g,"stays at home,stays at home (chippewa)."
45,Aberfa,g,"from the mouth of the river.,from the mouth of the river.."
46,Abertha,g,"sacrifice,sacrifice."
47,Abetzi,g,yellow leaf
48,Abey,g,leaf
49,Abeytu,g,green leaf
50,Abha,g,"luster shine origin, sanskrit.,lustrous beauty,shine"
51,Abhayankari,g,the one who dispels fear
52,Abhigeetha,g,praised
53,Abhigya,g,expert
54,Abhijaya,g,victorious
55,Abhilasha,g,"desire,wish, desire,ambition, desire"
56,Abhimaaninee,g,who possess pride
57,Abhimanini,g,a girl with self respect
58,Abhinandana,g,happiness good wishes
59,Abhinetri,g,actress dancer
60,Abhinivesha,g,long cherished desire
61,Abhipsa,g,strong desire
62,Abhira,g,cow herd
63,Abhiri,g,a raagini of indian music
64,Abhiroopa,g,attractive
65,Abhiruchi,g,beautiful
66,Abhirupa,g,beautiful (woman)
67,Abhramani,g,sun or moon
68,Abishta,g,lady of the house
69,Abjini,g,lotus pond
